amount,time_of_day,location_risk,transaction_type
24.22,11,0.37,WITHDRAWAL
10.72,9,0.194,PURCHASE
4.37,16,0.387,PAYMENT
83.56,11,0.076,WITHDRAWAL
559.22,8,0.482,PURCHASE
201.57,14,0.111,PURCHASE
67.82,13,0.375,PAYMENT
149.84,12,0.301,PAYMENT
97.06,15,0.124,TRANSFER
86.71,15,0.285,PAYMENT
224.83,7,0.032,PAYMENT
77.31,17,0.322,PAYMENT
354.18,13,0.482,PAYMENT
4.97,11,0.31,PAYMENT
53.5,14,0.403,WITHDRAWAL
137.71,17,0.221,WITHDRAWAL
15.92,9,0.205,PURCHASE
90.88,12,0.135,TRANSFER
1099.45,14,0.345,PAYMENT
284.52,18,0.152,TRANSFER
14.61,9,0.241,PURCHASE
19.74,11,0.046,TRANSFER
4.77,17,0.07,PURCHASE
19.92,9,0.033,TRANSFER
377.72,7,0.1,TRANSFER
89.87,11,0.115,WITHDRAWAL
30.69,8,0.328,PURCHASE
91.67,13,0.254,PAYMENT
71.03,11,0.067,TRANSFER
80.7,17,0.186,PAYMENT
257.37,12,0.357,PURCHASE
146.83,21,0.144,PAYMENT
78.64,13,0.093,TRANSFER
110.53,10,0.086,WITHDRAWAL
22.91,15,0.037,PURCHASE
293.26,19,0.206,PURCHASE
220.38,11,0.055,PAYMENT
31.5,13,0.232,PAYMENT
44.28,22,0.327,PAYMENT
98.68,13,0.23,WITHDRAWAL
26.99,8,0.185,PURCHASE
161.72,19,0.703,TRANSFER
3839.42,20,0.227,TRANSFER
43.32,17,0.236,TRANSFER
19.46,15,0.334,PURCHASE
112.5,15,0.401,WITHDRAWAL
107.6,9,0.492,TRANSFER
4.28,12,0.173,TRANSFER
37.76,17,0.254,PURCHASE
36.7,8,0.402,PURCHASE
10.68,18,0.109,TRANSFER
30.18,13,0.236,PURCHASE
329.26,22,0.59,WITHDRAWAL
11.76,12,0.397,PURCHASE
1277.24,9,0.341,TRANSFER
119.87,18,0.195,WITHDRAWAL
42.15,15,0.258,PAYMENT
21.46,9,0.399,PAYMENT
128.89,7,0.309,TRANSFER
198.34,8,0.681,PAYMENT
77.35,9,0.081,WITHDRAWAL
530.9,13,0.357,TRANSFER
30.54,17,0.173,PURCHASE
15.93,9,0.53,TRANSFER
99.63,22,0.242,WITHDRAWAL
4.07,9,0.339,PAYMENT
10.49,9,0.212,PAYMENT
631.27,17,0.194,WITHDRAWAL
318.24,22,0.387,WITHDRAWAL
336.74,11,0.12,WITHDRAWAL
4.17,9,0.455,PURCHASE
11.47,20,0.057,WITHDRAWAL
242.0,7,0.41,TRANSFER
36.17,17,0.412,PURCHASE
6.46,15,0.372,PURCHASE
38.65,8,0.307,PAYMENT
18.5,9,0.592,WITHDRAWAL
44.17,21,0.279,PAYMENT
17.74,16,0.464,TRANSFER
906.9,18,0.575,WITHDRAWAL
4.52,10,0.16,TRANSFER
80.88,7,0.073,TRANSFER
24.71,18,0.318,PAYMENT
110.43,22,0.408,PAYMENT
28.58,19,0.213,TRANSFER
37.31,11,0.403,PAYMENT
2.38,14,0.212,WITHDRAWAL
13.85,16,0.284,PAYMENT
3.43,22,0.182,PURCHASE
64.27,11,0.111,PAYMENT
186.29,8,0.582,WITHDRAWAL
91.18,21,0.071,WITHDRAWAL
14.35,15,0.149,WITHDRAWAL
521.26,15,0.086,PAYMENT
82.21,19,0.539,PAYMENT
3.47,13,0.362,PURCHASE
25.89,20,0.558,PAYMENT
7.32,9,0.426,TRANSFER
1218.18,21,0.42,WITHDRAWAL
54.94,17,0.468,PAYMENT
194.29,8,0.631,TRANSFER
20.27,12,0.169,PAYMENT
25.16,21,0.156,PAYMENT
93.39,12,0.078,WITHDRAWAL
162.08,10,0.332,PURCHASE
185.17,16,0.27,TRANSFER
93.93,11,0.076,WITHDRAWAL
419.63,8,0.285,PAYMENT
28.51,7,0.164,PURCHASE
104.08,15,0.099,PAYMENT
3.66,16,0.5,WITHDRAWAL
86.93,10,0.154,TRANSFER
58.79,17,0.253,PURCHASE
920.78,9,0.076,PURCHASE
396.29,17,0.126,PURCHASE
38.21,10,0.193,TRANSFER
72.69,8,0.465,TRANSFER
30.2,14,0.396,WITHDRAWAL
24.55,18,0.257,TRANSFER
1247.25,15,0.055,TRANSFER
33.75,9,0.183,TRANSFER
47.33,16,0.131,WITHDRAWAL
75.76,8,0.082,TRANSFER
37.58,13,0.294,WITHDRAWAL
1.3,20,0.275,TRANSFER
6.99,9,0.473,PURCHASE
154.86,18,0.429,TRANSFER
3.83,17,0.156,WITHDRAWAL
24.93,18,0.126,PAYMENT
10.14,8,0.287,PURCHASE
32.13,11,0.446,WITHDRAWAL
103.62,15,0.658,PURCHASE
57.1,16,0.648,PAYMENT
21.36,7,0.144,PAYMENT
60.57,10,0.055,TRANSFER
5.43,15,0.17,TRANSFER
86.48,16,0.62,TRANSFER
28.24,12,0.557,TRANSFER
32.71,11,0.276,WITHDRAWAL
138.8,11,0.603,TRANSFER
28.69,11,0.453,WITHDRAWAL
1399.1,12,0.244,PAYMENT
290.59,20,0.234,TRANSFER
11.66,7,0.277,PURCHASE
299.06,12,0.486,TRANSFER
180.64,10,0.461,WITHDRAWAL
43.87,7,0.156,TRANSFER
8.24,9,0.32,PURCHASE
224.88,15,0.27,PAYMENT
48.67,11,0.39,PAYMENT
18.54,20,0.551,WITHDRAWAL
10.03,20,0.066,PURCHASE
8.13,15,0.417,WITHDRAWAL
8.96,7,0.31,PURCHASE
10.27,14,0.143,WITHDRAWAL
36.67,16,0.055,TRANSFER
15.83,15,0.172,WITHDRAWAL
69.77,7,0.091,TRANSFER
84.81,10,0.27,WITHDRAWAL
9.44,16,0.229,PURCHASE
362.42,10,0.502,WITHDRAWAL
19.7,10,0.185,TRANSFER
106.78,15,0.143,TRANSFER
0.42,15,0.603,TRANSFER
63.79,22,0.236,WITHDRAWAL
444.9,11,0.096,WITHDRAWAL
29.72,10,0.537,TRANSFER
4.96,14,0.412,PAYMENT
11.72,11,0.314,PAYMENT
66.99,10,0.077,PAYMENT
759.44,14,0.571,PURCHASE
43.5,14,0.109,WITHDRAWAL
1177.26,14,0.485,TRANSFER
363.67,7,0.228,TRANSFER
79.61,13,0.337,WITHDRAWAL
65.98,8,0.445,PAYMENT
65.82,7,0.411,PAYMENT
115.22,8,0.16,WITHDRAWAL
1793.7,7,0.194,PAYMENT
12.69,20,0.071,PURCHASE
8.55,19,0.312,PURCHASE
2.1,16,0.186,TRANSFER
100.6,22,0.242,PAYMENT
383.43,7,0.423,WITHDRAWAL
170.06,15,0.287,PURCHASE
320.6,17,0.108,PAYMENT
583.6,20,0.22,PURCHASE
6.32,17,0.021,TRANSFER
51.86,13,0.418,PURCHASE
186.52,12,0.123,PURCHASE
19.02,13,0.112,PAYMENT
739.83,18,0.209,TRANSFER
59.63,11,0.078,TRANSFER
14.05,13,0.222,PAYMENT
109.26,19,0.243,TRANSFER
79.28,16,0.271,WITHDRAWAL
3.69,9,0.227,WITHDRAWAL
23.36,15,0.409,WITHDRAWAL
186.25,9,0.423,PAYMENT
2238.42,20,0.259,PURCHASE
17.26,10,0.294,PURCHASE
11.61,15,0.569,PURCHASE
139.04,13,0.104,WITHDRAWAL
9.67,13,0.196,PAYMENT
30.03,9,0.198,WITHDRAWAL
1950.26,15,0.516,TRANSFER
42.02,19,0.658,TRANSFER
250.83,9,0.177,PAYMENT
35.62,16,0.254,PURCHASE
77.31,11,0.465,TRANSFER
14.67,7,0.362,PAYMENT
5475.44,17,0.398,TRANSFER
54.35,13,0.454,PURCHASE
29.83,11,0.653,PAYMENT
29.28,15,0.261,PURCHASE
51.95,18,0.329,WITHDRAWAL
680.86,9,0.217,PAYMENT
19.94,9,0.554,WITHDRAWAL
39.92,12,0.235,PAYMENT
164.9,22,0.227,PURCHASE
87.55,18,0.419,PAYMENT
89.76,16,0.35,PURCHASE
151.44,8,0.555,TRANSFER
24.09,16,0.171,PAYMENT
144.3,8,0.255,WITHDRAWAL
20.65,11,0.62,WITHDRAWAL
11.07,7,0.043,PURCHASE
285.81,10,0.326,WITHDRAWAL
73.17,17,0.072,TRANSFER
709.17,15,0.166,TRANSFER
92.84,21,0.261,TRANSFER
85.29,13,0.168,TRANSFER
31.2,9,0.161,TRANSFER
9.68,16,0.322,PURCHASE
56.77,20,0.194,TRANSFER
114.78,15,0.226,PURCHASE
233.41,9,0.101,TRANSFER
413.21,21,0.101,WITHDRAWAL
96.32,10,0.072,PURCHASE
148.79,13,0.175,PURCHASE
17.28,11,0.328,TRANSFER
2.84,21,0.461,PAYMENT
86.46,20,0.713,PAYMENT
289.54,10,0.645,PAYMENT
5.51,13,0.609,WITHDRAWAL
14.71,11,0.482,WITHDRAWAL
74.13,11,0.109,PAYMENT
962.23,9,0.161,WITHDRAWAL
31.98,12,0.279,PURCHASE
8.47,8,0.311,PURCHASE
63.87,13,0.251,WITHDRAWAL
168.5,17,0.258,PURCHASE
176.92,15,0.221,PAYMENT
800.62,17,0.089,PAYMENT
397.26,12,0.445,WITHDRAWAL
511.32,13,0.19,WITHDRAWAL
158.42,21,0.081,TRANSFER
9.3,14,0.44,TRANSFER
83.46,11,0.318,TRANSFER
41.47,11,0.412,WITHDRAWAL
109.71,15,0.257,PURCHASE
205.05,10,0.201,WITHDRAWAL
92.09,9,0.441,TRANSFER
71.48,15,0.646,WITHDRAWAL
164.83,9,0.106,WITHDRAWAL
19.58,16,0.023,TRANSFER
15.29,10,0.615,PAYMENT
92.35,9,0.56,WITHDRAWAL
41.08,7,0.508,TRANSFER
3.3,16,0.448,PAYMENT
380.16,12,0.257,PURCHASE
12.07,20,0.23,PAYMENT
80.66,16,0.307,PAYMENT
283.01,15,0.328,TRANSFER
48.36,21,0.337,TRANSFER
45.54,9,0.328,PURCHASE
2.65,12,0.169,WITHDRAWAL
22.77,14,0.073,PAYMENT
11.28,15,0.342,TRANSFER
20.02,11,0.344,PURCHASE
10.0,16,0.122,TRANSFER
93.73,7,0.108,PURCHASE
78.56,9,0.529,PAYMENT
27.11,19,0.273,PAYMENT
120.58,15,0.133,PURCHASE
3.18,9,0.272,WITHDRAWAL
36.84,13,0.012,PAYMENT
78.38,15,0.453,PAYMENT
41.41,14,0.526,WITHDRAWAL
17.83,21,0.198,PAYMENT
29.82,7,0.251,TRANSFER
29.3,17,0.332,TRANSFER
61.44,14,0.2,TRANSFER
33.6,19,0.235,TRANSFER
25.01,17,0.115,PAYMENT
46.46,17,0.139,WITHDRAWAL
202.72,14,0.596,PAYMENT
75.47,9,0.656,PAYMENT
24.88,17,0.728,TRANSFER
21.89,18,0.088,TRANSFER
36.57,21,0.311,WITHDRAWAL
84.48,10,0.089,PURCHASE
213.07,12,0.154,PAYMENT
11.84,21,0.139,WITHDRAWAL
119.24,14,0.242,WITHDRAWAL
26.26,17,0.501,TRANSFER
64.87,10,0.033,PURCHASE
20.58,7,0.252,PAYMENT
45.06,21,0.374,PURCHASE
60.43,12,0.15,TRANSFER
11.72,21,0.5,WITHDRAWAL
98.11,17,0.191,WITHDRAWAL
198.2,12,0.372,PURCHASE
288.56,10,0.337,WITHDRAWAL
110.51,7,0.388,PURCHASE
118.26,17,0.278,WITHDRAWAL
48.03,11,0.118,PURCHASE
323.25,7,0.232,PURCHASE
529.8,20,0.339,PAYMENT
125.06,15,0.249,WITHDRAWAL
13.93,10,0.285,PAYMENT
27.7,8,0.226,PURCHASE
4.13,17,0.14,TRANSFER
62.22,10,0.259,PURCHASE
516.17,8,0.109,TRANSFER
543.28,7,0.399,WITHDRAWAL
38.46,8,0.501,WITHDRAWAL
742.72,21,0.257,PURCHASE
128.42,9,0.424,PURCHASE
14.27,16,0.228,PURCHASE
9.88,17,0.2,PAYMENT
72.0,18,0.034,WITHDRAWAL
40.6,12,0.206,TRANSFER
48.43,8,0.802,TRANSFER
8.46,16,0.069,TRANSFER
24.04,18,0.298,PURCHASE
31.61,11,0.08,PURCHASE
45.03,8,0.111,WITHDRAWAL
63.98,21,0.338,PURCHASE
69.75,17,0.417,PURCHASE
265.78,17,0.113,PURCHASE
2.43,8,0.073,PAYMENT
137.63,9,0.195,PAYMENT
87.77,15,0.188,TRANSFER
88.4,10,0.223,PURCHASE
17.24,15,0.21,WITHDRAWAL
26.49,20,0.124,WITHDRAWAL
11.12,17,0.169,PURCHASE
3.8,10,0.404,TRANSFER
87.02,10,0.172,WITHDRAWAL
17.96,14,0.38,WITHDRAWAL
7.84,18,0.24,PURCHASE
1323.65,13,0.206,WITHDRAWAL
17.6,14,0.103,TRANSFER
146.23,8,0.356,PURCHASE
80.03,13,0.527,WITHDRAWAL
17.52,10,0.218,PURCHASE
34.41,17,0.421,TRANSFER
40.23,18,0.592,PAYMENT
20.94,17,0.507,PAYMENT
23.5,18,0.153,TRANSFER
58.29,14,0.062,PAYMENT
30.22,13,0.222,TRANSFER
20.32,14,0.165,WITHDRAWAL
128.45,7,0.257,PURCHASE
7.0,17,0.345,WITHDRAWAL
6.48,15,0.199,PAYMENT
8.38,16,0.08,TRANSFER
510.54,22,0.219,PAYMENT
133.01,12,0.623,TRANSFER
35.18,10,0.036,TRANSFER
9.87,17,0.509,WITHDRAWAL
215.32,17,0.179,PAYMENT
41.24,16,0.121,TRANSFER
33.01,8,0.447,TRANSFER
106.68,22,0.228,PAYMENT
8.19,21,0.242,TRANSFER
2603.81,11,0.394,PURCHASE
979.25,17,0.291,TRANSFER
685.79,13,0.314,TRANSFER
114.71,9,0.407,PAYMENT
35.84,10,0.135,PURCHASE
271.44,10,0.405,WITHDRAWAL
8.71,12,0.298,PURCHASE
106.09,16,0.302,PURCHASE
88.65,14,0.106,PAYMENT
494.56,15,0.138,WITHDRAWAL
90.25,10,0.168,PAYMENT
21.54,8,0.682,TRANSFER
10.44,7,0.279,PURCHASE
466.34,13,0.054,WITHDRAWAL
136.12,16,0.466,TRANSFER
124.5,16,0.38,PURCHASE
55.26,22,0.105,WITHDRAWAL
62.47,17,0.215,WITHDRAWAL
31.0,14,0.442,TRANSFER
10.07,12,0.299,TRANSFER
143.43,7,0.174,PAYMENT
4.86,7,0.32,PURCHASE
35.63,18,0.447,TRANSFER
52.99,12,0.263,TRANSFER
5.77,21,0.142,PURCHASE
82.07,7,0.256,WITHDRAWAL
29.24,7,0.248,WITHDRAWAL
17.17,12,0.36,TRANSFER
125.89,14,0.109,PURCHASE
30.82,16,0.315,WITHDRAWAL
1435.84,16,0.157,TRANSFER
245.47,9,0.255,PURCHASE
35.68,12,0.239,PAYMENT
229.06,12,0.06,WITHDRAWAL
34.8,21,0.344,PAYMENT
55.78,18,0.153,PURCHASE
54.04,21,0.489,PURCHASE
512.35,8,0.416,PAYMENT
50.13,18,0.412,TRANSFER
155.8,10,0.264,PURCHASE
7.56,12,0.257,TRANSFER
11.66,11,0.34,TRANSFER
36.63,20,0.409,PURCHASE
7.97,7,0.118,PAYMENT
11.54,14,0.088,PAYMENT
317.53,14,0.094,TRANSFER
7.68,10,0.427,WITHDRAWAL
89.18,12,0.159,WITHDRAWAL
89.2,13,0.049,TRANSFER
8.0,12,0.12,WITHDRAWAL
32.92,16,0.154,PAYMENT
3.98,14,0.09,PURCHASE
263.7,18,0.42,PURCHASE
8.48,15,0.481,PURCHASE
39.24,19,0.304,WITHDRAWAL
73.42,16,0.235,PURCHASE
15.27,17,0.139,TRANSFER
304.74,17,0.307,TRANSFER
26.89,19,0.076,WITHDRAWAL
40.0,7,0.092,WITHDRAWAL
50.42,16,0.261,TRANSFER
145.24,14,0.142,TRANSFER
580.02,9,0.031,PURCHASE
11.99,15,0.487,PAYMENT
0.52,11,0.078,WITHDRAWAL
33.72,15,0.291,WITHDRAWAL
73.27,12,0.042,WITHDRAWAL
30.87,12,0.271,WITHDRAWAL
24.79,17,0.494,WITHDRAWAL
4.07,17,0.616,PURCHASE
20.41,9,0.134,WITHDRAWAL
7.41,16,0.417,WITHDRAWAL
171.56,13,0.028,PAYMENT
127.98,15,0.184,PAYMENT
17.64,13,0.107,TRANSFER
7.85,8,0.455,PAYMENT
45.46,11,0.563,PAYMENT
9.65,8,0.275,TRANSFER
362.23,14,0.389,PURCHASE
3.88,12,0.088,PURCHASE
31.09,17,0.089,PURCHASE
51.61,17,0.445,TRANSFER
441.26,8,0.088,PURCHASE
220.77,16,0.038,WITHDRAWAL
9.16,9,0.03,PAYMENT
107.96,10,0.365,WITHDRAWAL
2.61,14,0.189,TRANSFER
206.42,13,0.27,WITHDRAWAL
6.74,13,0.326,PAYMENT
11.67,12,0.395,PURCHASE
105.69,15,0.384,PURCHASE
7.59,7,0.276,PAYMENT
5.27,13,0.249,TRANSFER
197.29,9,0.569,PURCHASE
17.26,10,0.406,WITHDRAWAL
8.35,14,0.393,PAYMENT
313.51,14,0.061,PURCHASE
25.48,13,0.135,TRANSFER
14.82,7,0.087,WITHDRAWAL
27.79,10,0.358,WITHDRAWAL
258.37,13,0.444,TRANSFER
125.64,14,0.361,TRANSFER
15.26,18,0.054,TRANSFER
80.2,17,0.249,WITHDRAWAL
15.25,21,0.383,WITHDRAWAL
7.62,15,0.423,PAYMENT
35.9,12,0.554,PAYMENT
28.75,9,0.391,PURCHASE
87.61,14,0.093,TRANSFER
1.98,12,0.37,TRANSFER
694.06,7,0.131,WITHDRAWAL
8.85,8,0.315,PAYMENT
51.92,19,0.112,WITHDRAWAL
14.65,18,0.355,PURCHASE
62.19,20,0.434,PURCHASE
9.17,16,0.043,WITHDRAWAL
182.97,10,0.24,WITHDRAWAL
16.69,9,0.324,WITHDRAWAL
6.62,8,0.435,WITHDRAWAL
32.47,12,0.212,TRANSFER
393.5,22,0.201,PURCHASE
29.49,7,0.091,WITHDRAWAL
734.64,14,0.08,WITHDRAWAL
17.56,18,0.16,WITHDRAWAL
251.49,12,0.136,PURCHASE
134.76,14,0.643,PURCHASE
67.5,22,0.493,TRANSFER
55.04,20,0.146,WITHDRAWAL
44.09,22,0.349,WITHDRAWAL
63.11,13,0.215,WITHDRAWAL
481.41,9,0.269,TRANSFER
141.1,9,0.453,WITHDRAWAL
63.11,14,0.416,WITHDRAWAL
59.48,10,0.172,WITHDRAWAL
140.35,18,0.153,PURCHASE
40.91,13,0.373,PURCHASE
9.15,8,0.461,WITHDRAWAL
254.96,15,0.087,PAYMENT
16.67,8,0.178,PURCHASE
5.91,13,0.227,PAYMENT
19.39,13,0.274,TRANSFER
181.04,13,0.336,PAYMENT
28.23,9,0.296,PURCHASE
40.4,13,0.093,TRANSFER
141.5,16,0.256,PURCHASE
60.92,15,0.095,TRANSFER
15.5,19,0.427,PAYMENT
89.61,9,0.41,WITHDRAWAL
580.04,14,0.268,TRANSFER
17.12,13,0.198,TRANSFER
804.59,7,0.582,WITHDRAWAL
5.31,10,0.091,PAYMENT
112.51,13,0.126,PURCHASE
97.62,8,0.492,WITHDRAWAL
1.88,9,0.161,PAYMENT
443.4,14,0.201,PAYMENT
40.47,9,0.198,WITHDRAWAL
37.17,7,0.58,PURCHASE
2.06,10,0.169,TRANSFER
2.71,13,0.615,PAYMENT
55.31,21,0.302,WITHDRAWAL
100.74,15,0.468,PAYMENT
29.03,14,0.187,PAYMENT
114.3,21,0.289,WITHDRAWAL
124.56,16,0.362,PAYMENT
152.18,10,0.188,PAYMENT
144.8,7,0.262,PURCHASE
3.92,13,0.612,WITHDRAWAL
183.87,10,0.295,PAYMENT
1.74,14,0.153,PURCHASE
68.46,18,0.378,WITHDRAWAL
